country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",11-09-2026 05:00:00,28.4275,77.1465,PM10,15.0,103.0,78.0
India,Uttar Pradesh,Noida,"Sector - 62, Noida - IITM",11-09-2026 05:00:00,28.6245479,77.3577104,PM10,100.0,157.0,123.0
India,Uttar Pradesh,Noida,"Sector - 62, Noida - IITM",11-09-2026 05:00:00,28.6245479,77.3577104,NH3,,,
India,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",11-09-2026 05:00:00,28.5898,77.3101,PM2.5,30.0,158.0,57.0
India,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",11-09-2026 05:00:00,28.5898,77.3101,PM10,115.0,187.0,141.0
India,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",11-09-2026 05:00:00,28.5898,77.3101,CO,28.0,110.0,83.0
India,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",11-09-2026 05:00:00,28.5898,77.3101,OZONE,6.0,27.0,15.0
India,Uttar Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",11-09-2026 05:00:00,28.557054,77.453663,NO2,28.0,70.0,47.0
India,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",11-09-2026 05:00:00,28.47272,77.482,PM10,64.0,187.0,125.0
India,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",11-09-2026 05:00:00,28.47272,77.482,CO,27.0,38.0,33.0
India,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.6603346,77.3572563,NH3,5.0,8.0,7.0
India,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.6603346,77.3572563,SO2,4.0,18.0,11.0
India,Uttar Pradesh,Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB",11-09-2026 05:00:00,28.739153,77.273668,NH3,4.0,21.0,10.0
