system:index,AOD,date,image_count,.geo
161,1719.1134317303142,2021-06-11,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,1974.2367466609498,2021-06-12,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,1000.9779874213837,2021-06-13,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,1160.8186777905423,2021-06-14,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,974.9773385694965,2021-06-15,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,1208.8647959183672,2021-06-16,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,1315.9188852721154,2021-06-17,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,,2021-06-18,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,,2021-06-19,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,487.7080041620102,2021-06-20,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,646.2039870250961,2021-06-21,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,766.9385765240197,2021-06-22,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,931.2053065554326,2021-06-23,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,1467.547638629603,2021-06-24,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,1141.7788958874187,2021-06-25,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,923.7736519785227,2021-06-26,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,1828.8037171806225,2021-06-27,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,1160.3504324123762,2021-06-28,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,679.1938621210306,2021-06-29,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,985.2398229397121,2021-06-30,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,882.1904490680777,2021-07-01,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,1393.6227283234577,2021-07-02,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,,2021-07-03,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,865.6452298918559,2021-07-04,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,1290.838446551189,2021-07-05,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,744.7787952742856,2021-07-06,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,1229.7584727423819,2021-07-07,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,847.2731586858979,2021-07-08,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,1652.2545882310535,2021-07-09,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,887.0998930374038,2021-07-10,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,1862.4048906654125,2021-07-11,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,,2021-07-12,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,,2021-07-13,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,,2021-07-14,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,,2021-07-15,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,1436.3817550983192,2021-07-16,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2021.7727272727273,2021-07-17,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,,2021-07-18,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,,2021-07-19,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,,2021-07-20,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,1594.0543653065117,2021-07-21,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,,2021-07-22,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,660.313012337161,2021-07-23,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,852.6315789473684,2021-07-24,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,547.7276490524278,2021-07-25,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,,2021-07-26,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,,2021-07-27,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,,2021-07-28,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,,2021-07-29,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,,2021-07-30,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,599.0,2021-07-31,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,,2021-08-01,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,,2021-08-02,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,560.3333333333334,2021-08-03,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,,2021-08-04,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,578.3333333333334,2021-08-05,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,1537.6648286452153,2021-08-06,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,1548.7671514466313,2021-08-07,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,,2021-08-08,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,1447.1823687752353,2021-08-09,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,1214.105845282764,2021-08-10,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,769.6596359212439,2021-08-11,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,1049.027040556946,2021-08-12,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,1130.6815051188028,2021-08-13,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,877.1236004300184,2021-08-14,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,925.0199038208925,2021-08-15,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,662.3099218330585,2021-08-16,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,897.2766954447105,2021-08-17,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,1011.2993384237705,2021-08-18,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,1453.3751528324956,2021-08-19,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,,2021-08-20,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,,2021-08-21,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,,2021-08-22,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,831.417596063864,2021-08-23,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
