country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Uttar Pradesh",Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.646233,77.358075,NH3,3,6,4
India,"Uttar Pradesh",Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.646233,77.358075,CO,18,27,23
India,"Uttar Pradesh",Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.685382,77.453839,PM2.5,17,85,49
India,"Uttar Pradesh",Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.685382,77.453839,PM10,109,193,140
India,"Uttar Pradesh",Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.685382,77.453839,CO,28,78,43
India,"Uttar Pradesh",Ghaziabad,"Loni, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.757294,77.278792,PM2.5,35,244,71
India,"Uttar Pradesh",Ghaziabad,"Govindpuram, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.694528,77.494705,NH3,NA,NA,NA
India,"Uttar Pradesh",Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","11-09-2026 05:00:00",26.730136,83.433859,NO2,11,12,11
India,"Uttar Pradesh",Agra,"Shahjahan Garden, Agra - UPPCB","11-09-2026 05:00:00",27.169338,78.03582,NH3,1,1,1
India,"Uttar Pradesh",Agra,"Manoharpur, Agra - UPPCB","11-09-2026 05:00:00",27.23711,78.01936,NH3,2,2,2
India,"Uttar Pradesh",Agra,"Rohta, Agra - UPPCB","11-09-2026 05:00:00",27.106972,78.000111,PM10,19,150,88
India,"Uttar Pradesh",Agra,"Shastripuram, Agra - UPPCB","11-09-2026 05:00:00",27.19862,77.92066,PM2.5,27,98,53
India,"Uttar Pradesh",Agra,"Shastripuram, Agra - UPPCB","11-09-2026 05:00:00",27.19862,77.92066,NH3,3,3,3
India,"Uttar Pradesh",Agra,"Shastripuram, Agra - UPPCB","11-09-2026 05:00:00",27.19862,77.92066,SO2,NA,NA,NA
India,"Uttar Pradesh",Agra,"Shastripuram, Agra - UPPCB","11-09-2026 05:00:00",27.19862,77.92066,CO,45,56,51
India,"Uttar Pradesh",Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","11-09-2026 05:00:00",28.964949,77.278761,SO2,14,33,20
India,"Uttar Pradesh",Bareilly,"Rajendra Nagar, Bareilly - UPPCB","11-09-2026 05:00:00",28.38910936,79.42963708,OZONE,NA,NA,NA
India,"Uttar Pradesh",Bareilly,"Civil Lines, Bareilly - UPPCB","11-09-2026 05:00:00",28.359581,79.414455,CO,36,54,44
India,"Uttar Pradesh",Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","11-09-2026 05:00:00",28.406963,77.849831,NO2,3,39,23
India,"Uttar Pradesh",Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","11-09-2026 05:00:00",28.406963,77.849831,SO2,2,27,10
India,"Uttar Pradesh","Fatehpur Sikri","Dadupura, Fatehpur Sikri - UPPCB","11-09-2026 05:00:00",27.097694,77.671335,PM2.5,20,76,43
India,"Uttar Pradesh","Fatehpur Sikri","Dadupura, Fatehpur Sikri - UPPCB","11-09-2026 05:00:00",27.097694,77.671335,CO,21,40,26
India,"Uttar Pradesh",Moradabad,"Employment Office, Moradabad - UPPCB","11-09-2026 05:00:00",28.88528,78.7388,OZONE,6,11,8
India,"Uttar Pradesh",Moradabad,"Jigar Colony, Moradabad - UPPCB","11-09-2026 05:00:00",28.856664,78.772638,NH3,6,6,6
India,"Uttar Pradesh",Moradabad,"Jigar Colony, Moradabad - UPPCB","11-09-2026 05:00:00",28.856664,78.772638,SO2,26,47,42
India,"Uttar Pradesh",Moradabad,"Eco Herbal Park, Moradabad - UPPCB","11-09-2026 05:00:00",28.840739,78.697531,CO,17,22,19
India,"Uttar Pradesh",Moradabad,"Kashiram Nagar, Moradabad - UPPCB","11-09-2026 05:00:00",28.849399,78.742362,CO,29,42,36
India,"Uttar Pradesh",Moradabad,"Kashiram Nagar, Moradabad - UPPCB","11-09-2026 05:00:00",28.849399,78.742362,OZONE,14,21,17
India,"Uttar Pradesh",Moradabad,"Transport Nagar, Moradabad - UPPCB","11-09-2026 05:00:00",28.802625,78.753728,PM2.5,36,182,96
India,"Uttar Pradesh",Moradabad,"Transport Nagar, Moradabad - UPPCB","11-09-2026 05:00:00",28.802625,78.753728,NH3,5,6,5
India,"Uttar Pradesh",Moradabad,"Buddhi Vihar, Moradabad - UPPCB","11-09-2026 05:00:00",28.83526,78.7446,CO,6,16,12
India,"Uttar Pradesh",Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","11-09-2026 05:00:00",29.4723508,77.7194031,PM10,37,145,112
India,"Uttar Pradesh",Noida,"Sector-1, Noida - UPPCB","11-09-2026 05:00:00",28.5898,77.3101,NH3,NA,NA,NA
India,"Uttar Pradesh",Noida,"Sector-116, Noida - UPPCB","11-09-2026 05:00:00",28.56923,77.393848,SO2,12,16,14
India,"Uttar Pradesh",Noida,"Sector - 62, Noida - IITM","11-09-2026 05:00:00",28.6245479,77.3577104,SO2,NA,NA,NA
